alternativa,wape,mae,rmse,sesgo_pct,r2
modelo_extra_trees,0.014291116715869192,38383.48010366873,49990.299903703235,-0.008682514223345502,0.8136436581432537
modelo_hist_gradient_boosting,0.015074660713866678,40487.94444018131,51677.49138576003,-0.009384045196201653,0.8008521881846427
modelo_arbol,0.01565965653152481,42059.142532971135,55978.70548043976,-0.010960748631473767,0.7663216946061494
modelo_ridge,0.015885188691978167,42664.88310353733,53732.48916952423,-0.0077511116082640795,0.7846987198974723
modelo_holt_winters,0.01602363054328768,43036.71409133922,55420.74013148054,-0.00652425792807035,0.7709568356174608
modelo_regresion_lineal,0.016093349870894978,43223.968207113416,53630.945320823594,-0.007491470693175269,0.7855117052258965
estacional_7,0.016256418296522912,43661.94193548386,69692.35038763884,-0.0010683685971173648,0.6378046126186764
modelo_random_forest,0.016436363427938815,44145.24359124494,55088.45709344037,-0.010920051860149648,0.7736951246624056
ultimo_valor,0.031948642685554765,85808.55612903225,127848.11778110669,0.020171568860009682,-0.21888117468527502
media_movil_7,0.04183331003408801,112357.07154927973,122445.87817109127,-0.017945528277632093,-0.11804950306418016
