familia,etapa,label,configuracion,wape_promedio,wape_desv,mae_promedio,rmse_promedio,sesgo_abs_promedio,r2_promedio,train_mae_promedio,brecha_mae_promedio,fit_seconds,interpretabilidad_1_5,complejidad_1_5,mejora_vs_baseline_pct
random_forest,4_random_forest,rf_d6_leaf8,"{""max_depth"": 6, ""max_features"": 0.8, ""min_samples_leaf"": 8, ""n_estimators"": 200}",0.013602908476963412,0.005175976273670452,35925.4580715757,43060.85653015321,0.005789270093118311,0.8478482989055559,24133.074966641332,1.491897969612953,1.1893242999994982,2,4,0.3053131464747096
arbol,3_arbol,arbol_d8_leaf10,"{""max_depth"": 8, ""min_samples_leaf"": 10}",0.013716581259477868,0.005633707761439419,36222.03490286068,43944.9587476344,0.006727651532996439,0.8408181160943418,23335.021579388995,1.5504926903580263,0.30029129999979887,4,3,0.29950799180869364
extra_trees,5_extra_trees,et_d8_leaf12,"{""max_depth"": 8, ""max_features"": 0.8, ""min_samples_leaf"": 12, ""n_estimators"": 250}",0.01430991810867089,0.005344522163868392,37795.66196833279,44186.17993036416,0.006414423693937826,0.839404330283141,25592.88497970835,1.4783854503349874,1.6476919000006092,2,5,0.26920687572425156
hist_gradient_boosting,6_hist_gradient_boosting,hgb_2,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 15}",0.015073043148570317,0.0050442940742223994,39833.94655967076,47837.5245990662,0.00692049203781199,0.8139077908254135,7847.570575467714,5.02373947138443,1.1344858999996177,2,5,0.23023484752073334
holt_winters,7_holt_winters,holt_winters_2,"{""damped_trend"": true, ""seasonal"": ""add"", ""seasonal_periods"": 7, ""trend"": ""add""}",0.01594194028801037,0.0036727684846129317,42152.47874117502,57684.60274712658,0.007307157238835388,0.7278260000190216,40546.04457661792,1.0414091838114559,0.3987784000000829,4,3,0.1858611445838243
ridge,2_ridge,ridge_alpha_100,"{""alpha"": 100.0}",0.016749391760688542,0.003219038251645623,44299.32559417217,54555.71052178561,0.008220964921634669,0.7647035988097558,39757.698791727926,1.1152335474730048,0.3060462000003099,4,2,0.14462541004373738
baseline,0_baseline,estacional_7,estacional_7,0.019581352962033838,0.005829528726866611,51748.192500000034,70098.68236080646,0.01066494270456579,0.5944855190504584,,,0.0,5,1,0.0
regresion_lineal,1_lineal,regresion_lineal,{},0.02035905489315298,0.002185858866365115,53878.17475102848,66815.80252448251,0.01570468061292421,0.6507043804506903,37342.544975664096,1.4429344400964617,0.3011331000000155,5,2,-0.039716455376041876
