fecha,demanda_total_kwh,demanda_regulada_kwh,demanda_no_regulada_kwh,perdidas_total_kwh,perdidas_regulada_kwh,perdidas_no_regulada_kwh,consumo_facturado_calendarizado_total_kwh,consumo_facturado_mensual_kwh,consumo_facturado_trimestral_kwh,consumo_facturado_irregular_kwh,registros_facturacion_activos,dia_semana,es_fin_de_semana,mes,dia_del_ano,cobertura_calendarizacion_completa
2025-05-20,2681187.450000,2423936.180000,257251.270000,31052.590000,27825.160000,3227.430000,2257653.106478,1896251.107331,356690.937415,4711.061732,567431,1,0,5,140,1
2025-05-21,2739013.180000,2479841.610000,259171.570000,35307.660000,31708.880000,3598.780000,2259191.041230,1897760.847008,356690.937415,4739.256807,567224,2,0,5,141,1
2025-05-22,2705150.480000,2438180.380000,266970.100000,40097.090000,35825.170000,4271.920000,2250649.104110,1889194.334133,356690.937415,4763.832562,567046,3,0,5,142,1
2025-05-23,2743178.870000,2476632.040000,266546.830000,32878.610000,29467.430000,3411.180000,2247108.148714,1885570.295395,356690.937415,4846.915904,566920,4,0,5,143,1
2025-05-24,2623881.040000,2374468.550000,249412.490000,39501.750000,35549.940000,3951.810000,2243943.269377,1882364.478614,356690.937415,4887.853347,565849,5,1,5,144,1
2025-05-25,2420308.190000,2195018.960000,225289.230000,32002.830000,28694.800000,3308.030000,2244321.198439,1882407.355045,356690.937415,5222.905979,565775,6,1,5,145,1
2025-05-26,2722390.100000,2472400.710000,249989.390000,36377.800000,32897.910000,3479.890000,2254566.039062,1892266.298649,356690.937415,5608.802997,568202,0,0,5,146,1
2025-05-27,2753645.570000,2501588.920000,252056.650000,39426.570000,35791.500000,3635.070000,2261349.330799,1898854.457835,356690.937415,5803.935549,569359,1,0,5,147,1
2025-05-28,2729121.660000,2468243.240000,260878.420000,39867.620000,35812.980000,4054.640000,2263822.520977,1901490.132063,356690.937415,5641.451499,570132,2,0,5,148,1
2025-05-29,2772431.270000,2500063.340000,272367.930000,38554.500000,34648.220000,3906.280000,2265072.550686,1902657.446463,356690.937415,5724.166808,570281,3,0,5,149,1
2025-05-30,2760095.400000,2485358.550000,274736.850000,41209.840000,36919.940000,4289.900000,2268304.881479,1904100.703449,356690.937415,7513.240616,570431,4,0,5,150,1
2025-05-31,2632829.490000,2378294.370000,254535.120000,44893.330000,40470.320000,4423.010000,2043389.419485,1679047.872718,356690.937415,7650.609352,570293,5,1,5,151,1
2025-06-01,2419019.610000,2192072.260000,226947.350000,37977.020000,34046.790000,3930.230000,2043428.213883,1679075.946528,356690.937415,7661.329940,570309,6,1,6,152,1
2025-06-02,2471888.620000,2244044.410000,227844.210000,32142.280000,28827.600000,3314.680000,2093749.283029,1729356.869520,356690.937415,7701.476093,570376,0,0,6,153,1
2025-06-03,2704508.340000,2451474.590000,253033.750000,34106.070000,30731.370000,3374.700000,2094277.052291,1729449.227190,356690.937415,8136.887686,570397,1,0,6,154,1
2025-06-04,2736952.950000,2481343.440000,255609.510000,36105.060000,32333.580000,3771.480000,2232553.284615,1866145.273083,356690.937415,9717.074118,570732,2,0,6,155,1
